module	type	key	value	encodedValue	source	line
com.xiaoji.egggame.common.winemu_core	string	pc_cc_broken	已损坏 (点击重装)	5bey5o2f5Z2PICjngrnlh7vph43oo4Up	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	2
com.xiaoji.egggame.common.winemu_core	string	pc_cc_cpu_core_no_limit	无限制	5peg6ZmQ5Yi2	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	3
com.xiaoji.egggame.common.winemu_core	string	pc_cc_cpu_core	%1$d 核心	JTEkZCDmoLjlv4M=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	4
com.xiaoji.egggame.common.winemu_core	string	pc_cc_dinput_disabled	禁用	56aB55So	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	5
com.xiaoji.egggame.common.winemu_core	string	pc_cc_dinput_prefer_builtin	优先内置	5LyY5YWI5YaF572u	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	6
com.xiaoji.egggame.common.winemu_core	string	pc_cc_dinput_prefer_native	优先原装	5LyY5YWI5Y6f6KOF	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	7
com.xiaoji.egggame.common.winemu_core	string	pc_cc_disable	禁用	56aB55So	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	8
com.xiaoji.egggame.common.winemu_core	string	pc_cc_enable	启用	5ZCv55So	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	9
com.xiaoji.egggame.common.winemu_core	string	pc_cc_translation_param	转译参数	6L2s6K+R5Y+C5pWw	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	10
com.xiaoji.egggame.common.winemu_core	string	pc_s_ht_close	关闭	5YWz6Zet	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	11
com.xiaoji.egggame.common.winemu_core	string	pc_s_ht_full	完整	5a6M5pW0	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	12
com.xiaoji.egggame.common.winemu_core	string	pc_s_ht_simplify	精简	57K+566A	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	13
com.xiaoji.egggame.common.winemu_core	string	setup_exception_component_extract_failed	组件%1$s解压失败	57uE5Lu2JTEkc+ino+WOi+Wksei0pQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	14
com.xiaoji.egggame.common.winemu_core	string	setup_exception_component_install_failed	组件%1$s安装失败	57uE5Lu2JTEkc+WuieijheWksei0pQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	15
